sample_id,task,cohort,parent_6500_verified,native,counterfactual,effect,sample_best,off,action_sequence,boundary,retained_gain
ruler_vt_16k:0044,ruler_vt_16k,RESET_ELIGIBLE_167,true,1.0,1.0,0.0,0.8,0.8,"[""OFF"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0""]",2,1.0
ruler_niah_multivalue_16k:0266,ruler_niah_multivalue_16k,RESET_ELIGIBLE_167,true,1.0,0.75,0.25,0.75,0.75,"[""L6"", ""L12"", ""ALL"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]",4,0.0
ruler_niah_multikey_3_16k:0145,ruler_niah_multikey_3_16k,RESET_ELIGIBLE_167,true,1.0,0.0,1.0,0.0,0.0,"[""OFF"", ""L0"", ""OFF"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0""]",4,0.0
ruler_fwe_16k:0372,ruler_fwe_16k,RESET_ELIGIBLE_167,true,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,"[""ALL"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6""]",2,0.0
ruler_vt_16k:0317,ruler_vt_16k,RESET_ELIGIBLE_167,true,0.8,0.2,0.6000000000000001,0.2,0.2,"[""L24"", ""L0"", ""L0"", ""OFF"", ""L18"", ""L18"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0""]",7,0.0
ruler_fwe_16k:0386,ruler_fwe_16k,RESET_ELIGIBLE_167,true,1.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.6666666666666666,"[""L12"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0""]",2,0.0
ruler_vt_16k:0323,ruler_vt_16k,RESET_ELIGIBLE_167,true,0.8,0.6,0.20000000000000007,0.6,0.6,"[""L6"", ""L12"", ""L12"", ""ALL"", ""L18"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]",6,0.0
ruler_vt_16k:0445,ruler_vt_16k,RESET_ELIGIBLE_167,true,0.8,0.8,0.0,0.4,0.4,"[""OFF"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6""]",2,1.0
ruler_niah_multikey_3_16k:0108,ruler_niah_multikey_3_16k,RESET_ELIGIBLE_167,true,1.0,0.0,1.0,0.0,0.0,"[""L24"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0""]",2,0.0
ruler_qa_hotpotqa_16k:0454,ruler_qa_hotpotqa_16k,RESET_ELIGIBLE_167,true,1.0,0.0,1.0,0.0,0.0,"[""L18"", ""L24"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18""]",3,0.0
ruler_qa_squad_16k:0172,ruler_qa_squad_16k,RESET_ELIGIBLE_167,true,1.0,0.0,1.0,0.0,0.0,"[""ALL"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6""]",2,0.0
ruler_vt_16k:0277,ruler_vt_16k,RESET_ELIGIBLE_167,true,1.0,0.8,0.19999999999999996,0.8,0.8,"[""ALL"", ""ALL"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6""]",3,0.0
ruler_vt_16k:0008,ruler_vt_16k,RESET_ELIGIBLE_167,true,0.8,0.4,0.4,0.4,0.4,"[""L0"", ""ALL"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18""]",3,0.0
ruler_vt_16k:0286,ruler_vt_16k,RESET_ELIGIBLE_167,true,0.8,0.8,0.0,0.6,0.6,"[""L24"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0""]",2,1.0
ruler_niah_multiquery_16k:0068,ruler_niah_multiquery_16k,RESET_ELIGIBLE_167,true,1.0,0.75,0.25,0.75,0.75,"[""L24"", ""L18"", ""L0"", ""L18"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0""]",5,0.0
ruler_qa_hotpotqa_16k:0337,ruler_qa_hotpotqa_16k,RESET_ELIGIBLE_167,true,1.0,0.0,1.0,0.0,0.0,"[""L12"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0""]",2,0.0
ruler_vt_16k:0160,ruler_vt_16k,RESET_ELIGIBLE_167,true,1.0,0.8,0.19999999999999996,0.8,0.8,"[""L6"", ""L12"", ""L12"", ""OFF"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]",5,0.0
ruler_qa_squad_16k:0085,ruler_qa_squad_16k,RESET_ELIGIBLE_167,true,1.0,0.0,1.0,0.0,0.0,"[""ALL"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF""]",2,0.0
ruler_qa_hotpotqa_16k:0118,ruler_qa_hotpotqa_16k,RESET_ELIGIBLE_167,true,1.0,0.0,1.0,0.0,0.0,"[""L6"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]",2,0.0
ruler_vt_16k:0157,ruler_vt_16k,RESET_ELIGIBLE_167,true,1.0,1.0,0.0,0.6,0.6,"[""OFF"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]",2,1.0
ruler_niah_multikey_1_16k:0432,ruler_niah_multikey_1_16k,RESET_ELIGIBLE_167,true,1.0,0.0,1.0,0.0,0.0,"[""L6"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18""]",2,0.0
ruler_vt_16k:0422,ruler_vt_16k,RESET_ELIGIBLE_167,true,1.0,0.4,0.6,0.4,0.4,"[""OFF"", ""L0"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18""]",3,0.0
ruler_vt_16k:0093,ruler_vt_16k,RESET_ELIGIBLE_167,true,0.8,0.8,0.0,0.4,0.4,"[""ALL"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18""]",2,1.0
ruler_vt_16k:0477,ruler_vt_16k,RESET_ELIGIBLE_167,true,1.0,0.8,0.19999999999999996,0.8,0.8,"[""L6"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]",2,0.0
ruler_qa_squad_16k:0445,ruler_qa_squad_16k,RESET_ELIGIBLE_167,true,1.0,0.0,1.0,0.0,0.0,"[""OFF"", ""L0"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF""]",3,0.0
ruler_vt_16k:0279,ruler_vt_16k,RESET_ELIGIBLE_167,true,1.0,0.4,0.6,0.4,0.4,"[""L0"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]",2,0.0
ruler_vt_16k:0070,ruler_vt_16k,RESET_ELIGIBLE_167,true,0.6,0.4,0.19999999999999996,0.4,0.4,"[""L18"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0""]",2,0.0
ruler_vt_16k:0333,ruler_vt_16k,RESET_ELIGIBLE_167,true,1.0,1.0,0.0,0.8,0.8,"[""L24"", ""L24"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0""]",3,1.0
ruler_fwe_16k:0108,ruler_fwe_16k,RESET_ELIGIBLE_167,true,1.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.6666666666666666,"[""L6"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18""]",2,0.0
ruler_vt_16k:0170,ruler_vt_16k,RESET_ELIGIBLE_167,true,0.8,0.4,0.4,0.4,0.4,"[""L18"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24""]",2,0.0
ruler_qa_squad_16k:0472,ruler_qa_squad_16k,RESET_ELIGIBLE_167,true,1.0,0.0,1.0,0.0,0.0,"[""L0"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18""]",2,0.0
ruler_qa_squad_16k:0141,ruler_qa_squad_16k,RESET_ELIGIBLE_167,true,1.0,1.0,0.0,0.0,0.0,"[""L18"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6""]",2,1.0
ruler_niah_multivalue_16k:0288,ruler_niah_multivalue_16k,RESET_ELIGIBLE_167,true,1.0,1.0,0.0,0.75,0.75,"[""OFF"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24""]",2,1.0
ruler_qa_squad_16k:0305,ruler_qa_squad_16k,RESET_ELIGIBLE_167,true,1.0,0.0,1.0,0.0,0.0,"[""ALL"", ""L12"", ""L0"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]",4,0.0
ruler_qa_squad_16k:0184,ruler_qa_squad_16k,RESET_ELIGIBLE_167,true,1.0,0.0,1.0,0.0,0.0,"[""L18"", ""L0"", ""L6"", ""L0"", ""L0"", ""L6"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0""]",7,0.0
ruler_vt_16k:0322,ruler_vt_16k,RESET_ELIGIBLE_167,true,1.0,0.4,0.6,0.8,0.4,"[""ALL"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF""]",2,-2.0000000000000004
ruler_qa_hotpotqa_16k:0142,ruler_qa_hotpotqa_16k,RESET_ELIGIBLE_167,true,1.0,1.0,0.0,0.0,0.0,"[""OFF"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL""]",2,1.0
ruler_vt_16k:0358,ruler_vt_16k,RESET_ELIGIBLE_167,true,1.0,1.0,0.0,0.8,0.8,"[""OFF"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6""]",2,1.0
ruler_fwe_16k:0402,ruler_fwe_16k,RESET_ELIGIBLE_167,true,1.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.6666666666666666,"[""L12"", ""L24"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""OFF"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]",9,0.0
ruler_qa_hotpotqa_16k:0161,ruler_qa_hotpotqa_16k,RESET_ELIGIBLE_167,true,1.0,1.0,0.0,0.0,0.0,"[""OFF"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL""]",2,1.0
ruler_qa_squad_16k:0444,ruler_qa_squad_16k,RESET_ELIGIBLE_167,true,1.0,0.0,1.0,0.0,0.0,"[""L18"", ""L12"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0""]",3,0.0
ruler_niah_multivalue_16k:0144,ruler_niah_multivalue_16k,RESET_ELIGIBLE_167,true,1.0,0.75,0.25,0.75,0.75,"[""L18"", ""L6"", ""L6"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18""]",4,0.0
ruler_fwe_16k:0478,ruler_fwe_16k,RESET_ELIGIBLE_167,true,1.0,1.0,0.0,0.6666666666666666,0.6666666666666666,"[""OFF"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18""]",2,1.0
ruler_vt_16k:0045,ruler_vt_16k,RESET_ELIGIBLE_167,true,0.8,0.2,0.6000000000000001,0.2,0.2,"[""OFF"", ""L12"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6""]",3,0.0
ruler_vt_16k:0196,ruler_vt_16k,RESET_ELIGIBLE_167,true,1.0,0.8,0.19999999999999996,0.8,0.8,"[""L6"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF""]",2,0.0
ruler_vt_16k:0295,ruler_vt_16k,RESET_ELIGIBLE_167,true,0.8,0.4,0.4,0.4,0.4,"[""ALL"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6""]",2,0.0
ruler_fwe_16k:0324,ruler_fwe_16k,RESET_ELIGIBLE_167,true,1.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.6666666666666666,"[""OFF"", ""L6"", ""OFF"", ""OFF"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6""]",5,0.0
ruler_vt_16k:0108,ruler_vt_16k,RESET_ELIGIBLE_167,true,0.8,0.4,0.4,0.6,0.4,"[""ALL"", ""OFF"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0""]",3,-0.9999999999999994
ruler_qa_hotpotqa_16k:0023,ruler_qa_hotpotqa_16k,RESET_ELIGIBLE_167,true,1.0,0.0,1.0,0.0,0.0,"[""L12"", ""L0"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]",3,0.0
ruler_fwe_16k:0218,ruler_fwe_16k,RESET_ELIGIBLE_167,true,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,"[""L24"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0""]",2,1.0
ruler_niah_multivalue_16k:0498,ruler_niah_multivalue_16k,RESET_ELIGIBLE_167,true,1.0,0.5,0.5,0.5,0.5,"[""L6"", ""L12"", ""ALL"", ""ALL"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]",5,0.0
ruler_qa_squad_16k:0432,ruler_qa_squad_16k,RESET_ELIGIBLE_167,true,1.0,0.0,1.0,0.0,0.0,"[""ALL"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]",2,0.0
ruler_vt_16k:0237,ruler_vt_16k,RESET_ELIGIBLE_167,true,0.8,0.8,0.0,0.4,0.4,"[""OFF"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6""]",2,1.0
ruler_fwe_16k:0321,ruler_fwe_16k,RESET_ELIGIBLE_167,true,1.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.6666666666666666,"[""L18"", ""L6"", ""OFF"", ""ALL"", ""L24"", ""L24"", ""L24"", ""L24"", ""L24"", ""OFF"", ""L24"", ""L24"", ""L24"", ""L24""]",11,0.0
ruler_fwe_16k:0088,ruler_fwe_16k,RESET_ELIGIBLE_167,true,1.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.6666666666666666,"[""OFF"", ""L6"", ""OFF"", ""L0"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6""]",5,0.0
ruler_vt_16k:0226,ruler_vt_16k,RESET_ELIGIBLE_167,true,0.8,0.4,0.4,0.4,0.4,"[""L18"", ""L0"", ""L18"", ""L18"", ""L6"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18""]",6,0.0
ruler_niah_multiquery_16k:0454,ruler_niah_multiquery_16k,RESET_ELIGIBLE_167,true,1.0,0.5,0.5,0.5,0.5,"[""L0"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF""]",2,0.0
ruler_fwe_16k:0498,ruler_fwe_16k,RESET_ELIGIBLE_167,true,1.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.6666666666666666,"[""L6"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]",2,0.0
ruler_qa_hotpotqa_16k:0059,ruler_qa_hotpotqa_16k,RESET_ELIGIBLE_167,true,1.0,1.0,0.0,0.0,0.0,"[""L18"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0""]",2,1.0
ruler_fwe_16k:0298,ruler_fwe_16k,RESET_ELIGIBLE_167,true,1.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.6666666666666666,"[""OFF"", ""L6"", ""L6"", ""L6"", ""L6"", ""L12"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6""]",7,0.0
ruler_vt_16k:0140,ruler_vt_16k,RESET_ELIGIBLE_167,true,0.8,0.2,0.6000000000000001,0.6,0.6,"[""OFF"", ""L18"", ""L6"", ""OFF"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18""]",5,-1.9999999999999991
ruler_vt_16k:0086,ruler_vt_16k,RESET_ELIGIBLE_167,true,1.0,0.8,0.19999999999999996,0.8,0.8,"[""L0"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18""]",2,0.0
ruler_vt_16k:0396,ruler_vt_16k,RESET_ELIGIBLE_167,true,1.0,0.8,0.19999999999999996,0.8,0.8,"[""L18"", ""L0"", ""L18"", ""OFF"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18""]",5,0.0
ruler_vt_16k:0063,ruler_vt_16k,RESET_ELIGIBLE_167,true,1.0,1.0,0.0,0.8,0.8,"[""L24"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0""]",2,1.0
ruler_vt_16k:0220,ruler_vt_16k,RESET_ELIGIBLE_167,true,1.0,0.8,0.19999999999999996,0.8,0.8,"[""L6"", ""L12"", ""L0"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]",4,0.0
ruler_niah_multikey_3_16k:0429,ruler_niah_multikey_3_16k,RESET_ELIGIBLE_167,true,1.0,0.0,1.0,0.0,0.0,"[""L0"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]",2,0.0
ruler_fwe_16k:0260,ruler_fwe_16k,RESET_ELIGIBLE_167,true,1.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.6666666666666666,"[""OFF"", ""L6"", ""L0"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6""]",4,0.0
ruler_fwe_16k:0293,ruler_fwe_16k,RESET_ELIGIBLE_167,true,1.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.6666666666666666,"[""L18"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL"", ""ALL""]",2,0.0
ruler_fwe_16k:0017,ruler_fwe_16k,RESET_ELIGIBLE_167,true,1.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.6666666666666666,"[""L18"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF"", ""OFF""]",2,0.0
ruler_niah_multiquery_16k:0063,ruler_niah_multiquery_16k,RESET_ELIGIBLE_167,true,1.0,0.75,0.25,0.75,0.75,"[""L24"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]",2,0.0
ruler_qa_squad_16k:0491,ruler_qa_squad_16k,RESET_ELIGIBLE_167,true,1.0,0.0,1.0,0.0,0.0,"[""ALL"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]",2,0.0
ruler_vt_16k:0113,ruler_vt_16k,RESET_ELIGIBLE_167,true,1.0,0.8,0.19999999999999996,0.8,0.8,"[""L24"", ""L18"", ""L0"", ""L24"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0""]",5,0.0
ruler_vt_16k:0420,ruler_vt_16k,RESET_ELIGIBLE_167,true,0.8,0.8,0.0,0.4,0.4,"[""OFF"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6""]",2,1.0
ruler_vt_16k:0065,ruler_vt_16k,RESET_ELIGIBLE_167,true,1.0,0.4,0.6,0.4,0.4,"[""L18"", ""L18"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0""]",3,0.0
ruler_fwe_16k:0010,ruler_fwe_16k,RESET_ELIGIBLE_167,true,1.0,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.6666666666666666,"[""L18"", ""L0"", ""ALL"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18""]",4,0.0
ruler_vt_16k:0381,ruler_vt_16k,RESET_ELIGIBLE_167,true,0.8,0.4,0.4,0.4,0.4,"[""L6"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]",2,0.0
ruler_vt_16k:0194,ruler_vt_16k,RESET_ELIGIBLE_167,true,0.8,0.4,0.4,0.4,0.4,"[""ALL"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6"", ""L6""]",2,0.0
ruler_niah_multikey_3_16k:0208,ruler_niah_multikey_3_16k,RESET_ELIGIBLE_167,true,1.0,0.0,1.0,0.0,0.0,"[""L6"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0""]",2,0.0
ruler_vt_16k:0310,ruler_vt_16k,RESET_ELIGIBLE_167,true,0.8,0.4,0.4,0.4,0.4,"[""L0"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18"", ""L18""]",2,0.0
ruler_fwe_16k:0256,ruler_fwe_16k,RESET_ELIGIBLE_167,true,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,"[""L6"", ""L12"", ""L12"", ""ALL"", ""L12"", ""L6"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]",7,0.0
ruler_vt_16k:0416,ruler_vt_16k,RESET_ELIGIBLE_167,true,0.8,0.8,0.0,0.4,0.4,"[""L24"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0"", ""L0""]",2,1.0
ruler_niah_multivalue_16k:0496,ruler_niah_multivalue_16k,RESET_ELIGIBLE_167,true,1.0,0.75,0.25,0.75,0.75,"[""L6"", ""L0"", ""L0"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]",4,0.0
ruler_vt_16k:0057,ruler_vt_16k,RESET_ELIGIBLE_167,true,0.8,0.4,0.4,0.4,0.2,"[""L6"", ""L12"", ""L12"", ""ALL"", ""L12"", ""L12"", ""ALL"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12"", ""L12""]",8,0.0
